Sample.label,Transect,Trans_dist(km),Effort_length (km),Region.label,Study.Area,Area_km2,Species,Counts,Perp_dist(m),x,y
6,6,1.97,3,Shrubland,Makuyuni,261,SH,320,19,181189,9607729
6,6,1.97,3,Shrubland,Makuyuni,261,CT,97,17,181189,9607729
21,18,0.815,3,Woodland,Makuyuni,261,SH,137,25,181541,9595304
6,6,2.4,3,Shrubland,Makuyuni,261,CT,54,15,181611,9607674
6,6,2.4,3,Shrubland,Makuyuni,261,SH,43,25,181611,9607674
6,6,2.56,3,Shrubland,Makuyuni,261,CT,39,32,181778,9607666
6,6,2.56,3,Grassland,Makuyuni,261,SH,86,26,181778,9607666
6,6,2.82,3,Grassland,Makuyuni,261,CT,92,35,182041,9607657
6,6,2.82,3,Grassland,Makuyuni,261,SH,187,27,182041,9607657
3,3,3.001,3,Grassland,Makuyuni,261,CT,160,23,182210,9610797
16,15,0.127,3,Woodland,Makuyuni,261,CT,1,12,182258,9598756
6,6,3.009,3,Grassland,Makuyuni,261,CT,35,15,182310,9607669
6,6,3.009,3,Grassland,Makuyuni,261,SH,163,17,182310,9607669
3,3,2.006,3,Grassland,Makuyuni,261,SH,200,18,182593,9610948
3,3,1.706,3,Woodland,Makuyuni,261,SH,10,17,182979,9610942
3,3,1.356,3,Grassland,Makuyuni,261,DN,5,22,183468,9610839
3,3,1.356,3,Grassland,Makuyuni,261,SH,38,31,183468,9610839
3,3,1.356,3,Grassland,Makuyuni,261,CT,12,45,183468,9610839
3,3,0.396,3,Grassland,Makuyuni,261,SH,86,37,184587,9610801
3,3,0.216,3,Grassland,Makuyuni,261,SH,25,28,184787,9610811
3,3,0.216,3,Grassland,Makuyuni,261,CT,43,25,184787,9610811
3,3,0.106,3,Grassland,Makuyuni,261,DN,4,34,184949,9610743
3,3,0.013,3,Grassland,Makuyuni,261,CT,37,25,185208,9610728
3,3,0.013,3,Grassland,Makuyuni,261,SH,43,19,185208,9610728
13,13,0.11,3,Woodland,Makuyuni,261,SH,324,43,185479,9601642
17,16,1.06,3,Woodland,Makuyuni,261,SH,84,11,186029,9598472
13,13,2.19,3,Woodland,Makuyuni,261,SH,142,12,187422,9600842
4,4,0.01,3,Woodland,Makuyuni,261,CT,5,12,187489,9609880
13,13,2.54,3,Woodland,Makuyuni,261,CT,26,23,187831,9600974
13,13,2.54,3,Woodland,Makuyuni,261,SH,15,34,187831,9600974
4,4,1.59,3,Woodland,Makuyuni,261,CT,30,13,188743,9610840
4,4,1.64,3,Woodland,Makuyuni,261,SH,38,16,188840,9610862
4,4,2.58,3,Woodland,Makuyuni,261,CT,11,763,189681,9611216
4,4,2.911,3,Grassland,Makuyuni,261,SH,4,5,189919,9611364
